Barnets	Barnets
trenger	trenge
også	også
menn	mann
.	$.

Mer	mye
enn	enn
den	den
der	der
tøffe	tøff
kompisgreia	kompisgreia
.	$.

Jeg	jeg
har	ha
fått	få
mer	mye
respekt	respekt
for	for
menn	mann
som	som
prater	prate
om	om
disse	disse
tingene	ting
,	$,
om	om
mannsrollen	mannsrollen
.	$.

Vi	vi
må	måtte
ta	ta
dem	de
imot	imot
.	$.

«	$"
Det	det
første	første
slaget	slag
traff	treffe
meg	jeg
noen	noen
uker	uke
tidligere	tidlig
.	$.

Så	så
kom	komme
de	de
ganske	ganske
tett	tett
.	$.

Håret	hår
ble	bli
lugget	lugget
,	$,
magen	mage
sparket	sparke
.	$.

Skjellsordene	Skjellsordene
haglet	hagle
.	$.

Den	den
jenta	jente
som	som
lå	ligge
mørbanket	mørbanket
i	i
parkeringshuset	parkeringshuset
rett	rett
ved	ved
Gunerius	Gunerius
kjøpesenter	kjøpesenter
en	en
sein	sein
høstkveld	høstkveld
,	$,
det	det
var	være
meg	jeg
»	$"
,	$,
skriver	skrive
Rehman	Rehman
i	i
boka	bok
«	$"
Blåveis	Blåveis
»	$"
.	$.

Hun	hun
skriver	skrive
om	om
seg	seg
selv	selv
.	$.

Om	om
da	da
hun	hun
ble	bli
mishandlet	mishandle
av	av
den	den
jevnaldrende	jevnaldrende
ungdomskjæresten	ungdomskjæresten
i	i
fire	fire
år	år
.	$.

-	$-
Jeg	jeg
måtte	måtte
bestemme	bestemme
meg	jeg
for	for
at	at
jeg	jeg
ikke	ikke
var	være
offer	offer
lenger	lang
.	$.

Og	og
at	at
det	det
var	være
like	like
mye	mye
mitt	min
ansvar	ansvar
å	å
gå	gå
.	$.

Det	det
er	være
ikke	ikke
ens	ens
egen	egen
skyld	skyld
at	at
man	man
blir	bli
et	en
offer	offer
,	$,
men	men
det	det
er	være
ens	ens
egen	egen
skyld	skyld
at	at
man	man
forblir	forbli
et	en
offer	offer
.	$.

-	$-
Tror	tro
du	du
ikke	ikke
det	det
er	være
vanskelig	vanskelig
for	for
kvinner	kvinne
i	i
voldelige	voldelig
forhold	forhold
å	å
høre	høre
?	$?

-	$-
Jo	jo
,	$,
men	men
jeg	jeg
tror	tro
at	at
hun	hun
må	måtte
gjøre	gjøre
det	det
for	for
å	å
komme	komme
ut	ut
av	av
det	det
,	$,
slik	slik
at	at
hun	hun
skjønner	skjønne
det	det
og	og
finner	finne
mot	mot
.	$.

Vi	vi
må	måtte
ta	ta
ansvar	ansvar
for	for
vårt	vår
eget	egen
liv	liv
.	$.

Vi	vi
snakker	snakke
ikke	ikke
om	om
skyld	skyld
her	her
,	$,
om	om
en	en
bevissthet	bevissthet
.	$.

Ingen	ingen
skal	skulle
komme	komme
og	og
si	si
at	at
det	det
var	være
min	min
skyld	skyld
at	at
jeg	jeg
ble	bli
i	i
et	en
voldelig	voldelig
forhold	forhold
i	i
fire	fire
år	år
.	$.

Siden	siden
har	ha
hun	hun
holdt	holde
seg	seg
til	til
eldre	gammel
menn	mann
.	$.

Men	men
alder	alder
har	ha
lite	lite
å	å
si	si
,	$,
sier	si
hun	hun
,	$,
det	det
viktigste	viktig
er	være
at	at
de	de
er	være
ømme	øm
,	$,
men	men
faste	fast
.	$.

Hun	hun
synes	synes
det	det
er	være
søtt	søt
når	når
menn	mann
rødmer	rødmer
.	$.

Og	og
hun	hun
mener	mene
,	$,
kanskje	kanskje
litt	litt
overraskende	overraske
,	$,
at	at
humor	humor
er	være
oppskrytt	oppskrytt
.	$.

-	$-
Det	det
er	være
ikke	ikke
sånn	sånn
at	at
humor	humor
er	være
viktigst	viktig
.	$.

De	de
må	måtte
ikke	ikke
få	få
meg	jeg
til	til
å	å
le	le
.	$.

Det	det
er	være
slitsomt	slitsom
med	med
morsomme	morsom
menn	mann
.	$.

De	de
er	være
fine	fin
å	å
ha	ha
som	som
kompiser	kompis
,	$,
og	og
jeg	jeg
vil	ville
leve	leve
sammen	sammen
med	med
en	en
mann	mann
med	med
humor	humor
,	$,
ja	ja
,	$,
men	men
han	han
trenger	trenge
ikke	ikke
være	være
morsom	morsom
.	$.

Han	han
må	måtte
imidlertid	imidlertid
gjerne	gjerne
overraske	overraske
meg	jeg
,	$,
det	det
liker	like
jeg	jeg
veldig	veldig
godt	god
.	$.

Martin	Martin
gjorde	gjøre
det	det
med	med
en	en
gang	gang
.	$.

-	$-
Hvordan	hvordan
da	da
?	$?

-	$-
Han	han
kom	komme
på	på
besøk	besøk
til	til
meg	jeg
i	i
New	New
York	York
,	$,
leide	leide
en	en
bil	bil
,	$,
og	og
kjørte	kjøre
meg	jeg
til	til
Niagara	Niagara
Falls	Falls
.	$.

Hun	hun
halvt	halv
sitter	sitte
,	$,
halvt	halv
ligger	ligge
i	i
sovesofaen	sovesofaen
i	i
stua	stue
i	i
Brooklyn	Brooklyn
.	$.

Hun	hun
er	være
mildere	mild
enn	enn
forventet	forvente
,	$,
snakker	snakke
mykere	mykere
,	$,
roligere	roligere
,	$,
spesielt	spesiell
når	når
hun	hun
snakker	snakke
om	om
mannen	mann
som	som
akkurat	akkurat
har	ha
servert	servere
kaffe	kaffe
.	$.

Det	det
var	være
ikke	ikke
planen	plan
at	at
Shabana	Shabana
Rehman	Rehman
skulle	skulle
bli	bli
så	så
til	til
de	de
grader	grad
forelsket	forelsket
.	$.

Planen	plan
var	være
å	å
bli	bli
karrierekvinne	karrierekvinne
,	$,
gi	gi
opp	opp
menn	mann
,	$,
være	være
gift	gift
med	med
prosjektene	prosjekt
sine	sin
.	$.

-	$-
Og	og
så	så
sier	si
det	det
pang	pang
!	$!

Og	og
jeg	jeg
blir	bli
kjempeforelska	kjempeforelska
,	$,
kjærlighet	kjærlighet
ved	ved
første	første
blikk	blikk
og	og
alt	alt
.	$.

På	på
en	en
turistbåt	turistbåt
under	under
den	den
kraftigste	kraftigste
fossen	fossen
i	i
Nord-Amerika	Nord-Amerika
,	$,
under	under
to	to
måneder	måned
etter	etter
at	at
de	de
hadde	ha
møtt	møte
hverandre	hverandre
på	på
en	en
vennemiddag	vennemiddag
i	i
Oslo	Oslo
,	$,
forlovet	forlovet
Shabana	Shabana
seg	seg
med	med
den	den
ti	ti
år	år
eldre	gammel
NRK-mannen	NRK-mannen
Martin	Martin
Gaarder	Gaarder
.	$.

-	$-
Det	det
var	være
en	en
veldig	veldig
romantisk	romantisk
klisjégreie	klisjégreie
.	$.

Men	men
det	det
var	være
så	så
kult	kul
å	å
bare	bare
gjøre	gjøre
det	det
.	$.

Så	så
spektakulært	spektakulært
,	$,
liksom	liksom
.	$.

Vi	vi
var	være
sjelevenner	sjelevenner
fra	fra
første	første
stund	stund
,	$,
vi	vi
.	$.

Det	det
var	være
utrolig	utrolig
rart	rar
.	$.

Det	det
var	være
som	som
å	å
bli	bli
fjorten	fjorten
år	år
igjen	igjen
,	$,
både	både
flaut	flau
og	og
rart	rar
og	og
helt	hel
sånn	sånn
...	$...
ja	ja
,	$,
barnslig	barnslig
.	$.

Veldig	veldig
,	$,
veldig	veldig
barnslig	barnslig
.	$.

-	$-
Har	ha
du	du
trodd	tro
på	på
kjærlighet	kjærlighet
ved	ved
første	første
blikk	blikk
før	før
?	$?

-	$-
Aldri	aldri
.	$.

Men	men
det	det
var	være
det	det
.	$.

Vi	vi
visste	vite
det	det
,	$,
begge	begge
to	to
.	$.

Det	det
var	være
helt	hel
andre	annen
krefter	kraft
som	som
var	være
i	i
sving	sving
,	$,
intuisjon	intuisjon
eller	eller
hva	hva
det	det
nå	nå
var	være
,	$,
men	men
vi	vi
trengte	trenge
ikke	ikke
å	å
si	si
ting	ting
med	med
ord	ord
lenger	lang
.	$.

Det	det
var	være
bare	bare
sånn	sånn
:	$:

Ja	ja
.	$.

Det	det
er	være
oss	vi
.	$.

-	$-
Du	du
visste	vite
det	det
med	med
en	en
gang	gang
?	$?

-	$-
Med	med
en	en
gang	gang
.	$.

Vi	vi
møttes	møtes
igjen	igjen
tilfeldig	tilfeldig
ei	en
uke	uke
seinere	sein
.	$.

Vi	vi
sa	si
ikke	ikke
noe	noe
da	da
heller	heller
.	$.

Vi	vi
bare	bare
visste	vite
det	det
.	$.

Og	og
på	på
tredje	tredje
møtet	møte
betrodde	betrodde
vi	vi
oss	vi
til	til
hverandre	hverandre
.	$.

Og	og
da	da
var	være
det	det
sånn	sånn
«	$"
a	a
,	$,
hvordan	hvordan
står	stå
det	det
til	til
med	med
tingene	ting
ellers	ellers
i	i
livet	liv
,	$,
har	ha
du	du
noen	noen
utestående	utestående
regninger	regninger
og	og
sånn	sånn
?	$?
»	$"

Det	det
var	være
liksom	liksom
ikke	ikke
snakk	snakk
om	om
noe	noe
annet	annen
enn	enn
at	at
vi	vi
skulle	skulle
være	være
sammen	sammen
fra	fra
nå	nå
av	av
.	$.

-	$-
Var	være
det	det
skummelt	skummel
?	$?

-	$-
Ja	ja
,	$,
for	for
det	det
var	være
ikke	ikke
planen	plan
i	i
det	det
hele	hel
tatt	ta
.	$.

Men	men
det	det
var	være
kjemi	kjemi
,	$,
og	og
det	det
var	være
bobler	bobler
og	og
alle	all
filmklisjeer	filmklisjeer
på	på
en	en
gang	gang
.	$.

Fagernes	Fagernes
i	i
Valdres	Valdres
,	$,
23.	23.
august	august
i	i
år	år
.	$.

Shabana	Shabana
står	stå
brud	brud
iført	iført
en	en
grå	grå
kjole	kjole
i	i
råsilke	råsilke
i	i
et	en
bryllup	bryllup
med	med
atten	atten
personer	person
på	på
talelista	talelista
,	$,
der	der
folk	folk
først	først
får	få
gå	gå
fra	fra
middagsbordet	middagsbord
klokka	klokke
to	to
om	om
natta	natt
.	$.

Det	det
er	være
første	første
gang	gang
familien	familie
Rehman	Rehman
er	være
samlet	samle
utenfor	utenfor
hovedstaden	hovedstad
.	$.

Men	men
det	det
er	være
andre	annen
gang	gang
Shabana	Shabana
gifter	gifte
seg	seg
.	$.

Hun	hun
var	være
kjæresten	kjæreste
til	til
tekstforfatter	tekstforfatter
Dagfinn	Dagfinn
Nordbø	Nordbø
i	i
fem	fem
år	år
,	$,
de	de
ble	bli
kalt	kalle
Norges	Norge
mektigste	mektig
underholdningspar	underholdningspar
.	$.

Men	men
hun	hun
var	være
kona	kone
hans	hans
bare	bare
i	i
ett	én
.	$.

Da	da
hun	hun
flyttet	flytte
til	til
New	New
York	York
i	i
2005	2005
,	$,
flyttet	flytte
de	de
to	to
fra	fra
hverandre	hverandre
.	$.

-	$-
Vi	vi
fikk	få
det	det
ikke	ikke
til	til
,	$,
rett	rett
og	og
slett	slett
.	$.

Dagfinn	Dagfinn
har	ha
vært	være
utrolig	utrolig
viktig	viktig
for	for
meg	jeg
,	$,
og	og
jeg	jeg
så	se
for	for
meg	jeg
at	at
vi	vi
skulle	skulle
være	være
sammen	sammen
resten	rest
av	av
livet	liv
,	$,
så	så
det	det
kom	komme
som	som
et	en
sjokk	sjokk
at	at
det	det
ikke	ikke
fungerte	fungere
.	$.

Det	det
var	være
som	som
å	å
svømme	svømme
mot	mot
en	en
sterk	sterk
strøm	strøm
,	$,
der	der
vi	vi
drev	drive
lenger	lang
og	og
lenger	lang
fra	fra
hverandre	hverandre
.	$.

Det	det
var	være
fryktelig	fryktelig
tungt	tung
.	$.

Jeg	jeg
gikk	gå
inn	inn
i	i
en	en
sorgprosess	sorgprosess
som	som
jeg	jeg
aldri	aldri
trodde	tro
skulle	skulle
gå	gå
over	over
.	$.

Jeg	jeg
trodde	tro
i	i
alle	all
fall	fall
ikke	ikke
jeg	jeg
skulle	skulle
gifte	gifte
meg	jeg
igjen	igjen
,	$,
og	og
jeg	jeg
spør	spørre
meg	jeg
selv	selv
nå	nå
:	$:

Hvordan	hvordan
tør	tørre
jeg	jeg
?	$?

Hun	hun
svarer	svare
med	med
en	en
gang	gang
:	$:

-	$-
Jeg	jeg
tør	tørre
på	på
grunn	grunn
av	av
kjærligheten	kjærlighet
.	$.

Og	og
det	det
gjør	gjøre
meg	jeg
veldig	veldig
oppmuntret	oppmuntret
å	å
tro	tro
på	på
at	at
alt	alt
kan	kunne
skje	skje
her	her
i	i
livet	liv
.	$.

Plutselig	plutselig
kan	kunne
alt	alt
bli	bli
snudd	snu
opp	opp
ned	ned
,	$,
ikke	ikke
bare	bare
til	til
det	det
jævlige	jævlige
,	$,
men	men
også	også
til	til
det	det
gode	god
.	$.

-	$-
Er	være
det	det
viktig	viktig
for	for
deg	du
å	å
være	være
gift	gift
?	$?

-	$-
Nei	nei
,	$,
det	det
er	være
ikke	ikke
det	det
!	$!

Og	og
jeg	jeg
tenker	tenke
jo	jo
litt	litt
sånn	sånn
:	$:

Hva	hva
faen	faen
var	være
det	det
som	som
skjedde	skje
nå	nå
?	$?

Det	det
er	være
ikke	ikke
viktig	viktig
å	å
gifte	gifte
seg	seg
.	$.

Men	men
det	det
er	være
romantisk	romantisk
.	$.

Det	det
er	være
rett	rett
og	og
slett	slett
romantisk	romantisk
.	$.

Hun	hun
heter	hete
Shabana	Shabana
Rehman	Rehman
Gaarder	Gaarder
nå	nå
.	$.

Han	han
heter	hete
Martin	Martin
Rehman	Rehman
Gaarder	Gaarder
.	$.

Begge	begge
navnene	navn
deres	deres
står	stå
på	på
postkassa	postkassa
i	i
Brooklyn	Brooklyn
,	$,
og	og
Martin	Martin
bor	bo
for	for
tida	tid
i	i
New	New
York	York
i	i
forbindelse	forbindelse
med	med
et	en
dokumentarprosjekt	dokumentarprosjekt
.	$.

-	$-
Er	være
du	du
en	en
god	god
kjæreste	kjæreste
?	$?

-	$-
Det	det
må	måtte
Martin	Martin
svare	svare
på	på
.	$.

-	$-
Han	han
svarte	svare
ja	ja
.	$.

-	$-
Gjorde	gjøre
han	han
?	$?

Så	så
hyggelig	hyggelig
,	$,
da	da
.	$.

-	$-
Når	når
føler	føle
du	du
deg	du
elsket	elske
?	$?

-	$-
Når	når
man	man
tør	tørre
å	å
se	se
hverandre	hverandre
på	på
det	det
svakeste	svak
,	$,
og	og
man	man
skjønner	skjønne
hva	hva
som	som
skal	skulle
til	til
for	for
å	å
ta	ta
vare	vare
på	på
den	den
andre	annen
.	$.

Å	å
få	få
følelsen	følelse
av	av
at	at
noe	noe
er	være
betingelsesløst	betingelsesløs
,	$,
der	der
man	man
ikke	ikke
trenger	trenge
prestere	prestere
noe	noe
,	$,
man	man
bare	bare
er	være
.	$.

Det	det
bør	burde
være	være
en	en
selvfølge	selvfølge
i	i
et	en
ekteskap	ekteskap
.	$.

Og	og
det	det
er	være
kanskje	kanskje
grunnen	grunn
til	til
at	at
jeg	jeg
gifter	gifte
meg	jeg
,	$,
sier	si
Shabana	Shabana
.	$.

-	$-
Men	men
jeg	jeg
heier	heier
også	også
på	på
forelskelsen	forelskelsen
og	og
galskapen	galskap
når	når
man	man
først	først
skal	skulle
gjøre	gjøre
det	det
.	$.

Martin	Martin
og	og
Shabana	Shabana
har	ha
unnskyldt	unnskyldt
at	at
det	det
står	stå
en	en
plante	plante
i	i
badekaret	badekar
.	$.

Nå	nå
viser	vise
det	det
seg	seg
at	at
det	det
også	også
sitter	sitte
en	en
mus	mus
under	under
kjøleskapet	kjøleskap
.	$.

Den	den
har	ha
sittet	sitte
der	der
,	$,
helt	hel
stille	stille
,	$,
ventet	vente
,	$,
kikket	kikke
.	$.

Plutselig	plutselig
tar	ta
den	den
sats	sats
,	$,
piler	piler
ut	ut
og	og
blir	bli
stående	stå
midt	midt
på	på
kjøkkengulvet	kjøkkengulvet
.	$.

Shabana	Shabana
hyler	hyler
ikke	ikke
.	$.

Hun	hun
slår	slå
ikke	ikke
vilt	vill
etter	etter
dyret	dyret
med	med
en	en
vaskekost	vaskekost
.	$.

Hun	hun
trekker	trekke
ikke	ikke
engang	engang
beina	bein
opp	opp
i	i
sofaen	sofa
.	$.

-	$-
Vi	vi
må	måtte
filme	filme
den	den
,	$,
hvisker	hvisker
hun	hun
.	$.

Hun	hun
henter	hente
videokameraet	videokameraet
,	$,
men	men
musa	musa
stikker	stikke
tilbake	tilbake
der	der
den	den
kom	komme
fra	fra
.	$.

Shabana	Shabana
trekker	trekke
på	på
skuldrene	skulder
.	$.

-	$-
Jeg	jeg
er	være
i	i
alle	all
fall	fall
ikke	ikke
redd	redd
,	$,
sier	si
hun	hun
.	$.

-	$-
Da	da
vi	vi
først	først
oppdaget	oppdage
den	den
,	$,
var	være
det	det
ikke	ikke
diskusjon	diskusjon
engang	engang
,	$,
det	det
var	være
Martins	Martin
ansvar	ansvar
å	å
få	få
den	den
musa	musa
ut	ut
.	$.

Men	men
så	så
tenkte	tenke
jeg	jeg
:	$:

«	$"
Herregud	herregud
,	$,
jeg	jeg
har	ha
løftet	løfte
mullaer	mullaer
.	$.

Jeg	jeg
tør	tørre
vel	vel
løfte	løfte
den	den
musa	musa
ut	ut
av	av
huset	hus
»	$"
.	$.

Etter	etter
at	at
Shabana	Shabana
Rehman	Rehman
løftet	løfte
Mulla	Mulla
Krekar	Krekar
på	på
Smuget	Smuget
i	i
Oslo	Oslo
i	i
2004	2004
,	$,
tok	ta
det	det
ikke	ikke
lang	lang
tid	tid
før	før
hun	hun
ble	bli
bedt	be
om	om
å	å
løfte	løfte
konserndirektører	konserndirektører
og	og
ordførere	ordfører
på	på
seminar	seminar
eller	eller
under	under
sine	sin
foredrag	foredrag
,	$,
før	før
hun	hun
holdt	holde
kurs	kurs
om	om
riktig	riktig
løfteteknikk	løfteteknikk
for	for
kvinner	kvinne
.	$.

Etter	etter
at	at
hun	hun
flekket	flekket
ræv	ræv
under	under
åpninga	åpninga
av	av
filmfestivalen	filmfestival
i	i
Haugesund	Haugesund
i	i
2005	2005
,	$,
kalte	kalle
store	stor
aviser	avis
i	i
Pakistan	Pakistan
henne	hun
en	en
skam	skam
for	for
det	det
pakistanske	pakistanske
miljøet	miljø
i	i
Norge	Norge
.	$.

Det	det
ble	bli
skutt	skyte
mot	mot
søsteras	søsteras
restaurant	restaurant
og	og
det	det
tok	ta
ett	én
år	år
før	før
lillebroren	lillebroren
hennes	hennes
kunne	kunne
si	si
at	at
han	han
var	være
stolt	stolt
av	av
henne	hun
.	$.

-	$-
Det	det
var	være
fryktelig	fryktelig
vondt	vond
.	$.

Men	men
det	det
var	være
fint	fin
å	å
komme	komme
dit	dit
.	$.

Og	og
det	det
at	at
han	han
sa	si
det	det
,	$,
er	være
en	en
mye	mye
modigere	modigere
ting	ting
enn	enn
det	det
jeg	jeg
noensinne	noensinne
har	ha
gjort	gjøre
.	$.

Det	det
har	ha
vært	være
tøft	tøff
for	for
mennene	mann
i	i
mitt	min
liv	liv
,	$,
tror	tro
jeg	jeg
.	$.

Brødre	Brødre
så	så
vel	vel
som	som
ektemenn	ektemenn
.	$.

Hun	hun
ble	bli
ikke	ikke
født	føde
inn	inn
i	i
en	en
liberal	liberal
familie	familie
,	$,
men	men
hun	hun
diskuterte	diskuterte
ofte	ofte
kjønnsroller	kjønnsroller
med	med
brødrene	bror
sine	sin
,	$,
også	også
etter	etter
at	at
hun	hun
flyttet	flytte
fra	fra
Holmlia	Holmlia
og	og
familien	familie
som	som
sekstenåring	sekstenåring
.	$.

De	de
har	ha
lært	lære
at	at
de	de
ikke	ikke
kan	kunne
kontrollere	kontrollere
hverandre	hverandre
.	$.

At	at
en	en
familie	familie
kan	kunne
være	være
glad	glad
i	i
hverandre	hverandre
uten	uten
å	å
eie	eie
hverandres	hverandres
valg	valg
,	$,
selv	selv
om	om
det	det
til	til
tider	tid
har	ha
vært	være
sårt	sår
.	$.

-	$-
Vi	vi
har	ha
vært	være
sinte	sint
på	på
hverandre	hverandre
,	$,
men	men
det	det
er	være
mer	mye
en	en
smerte	smerte
.	$.

Hva	hva
vil	ville
folk	folk
si	si
?	$?

Menn	mann
mobber	mobber
menn	mann
når	når
kvinner	kvinne
liksom	liksom
er	være
utenfor	utenfor
kontroll	kontroll
.	$.

Pornoskuespilleren	Pornoskuespilleren
og	og
burleskdanseren	burleskdanseren
Karoline	Karoline
Andersen	Andersen
var	være
omtalt	omtale
som	som
«	$"
advokatdatter	advokatdatter
»	$"
på	på
forsida	forsida
av	av
Dagbladet	Dagbladet
.	$.

Hun	hun
er	være
en	en
voksen	voksen
kvinne	kvinne
,	$,
hvorfor	hvorfor
er	være
det	det
viktig	viktig
å	å
skrive	skrive
at	at
hun	hun
er	være
datter	datter
av	av
en	en
advokat	advokat
?	$?

Det	det
er	være
faren	fare
som	som
blir	bli
angrepet	angripe
fordi	fordi
datteren	datter
puler	puler
rundt	rundt
.	$.

Det	det
er	være
en	en
måte	måte
å	å
krenke	krenke
menn	mann
på	på
,	$,
som	som
er	være
mer	mye
eksplisitt	eksplisitt
i	i
pakistanske	pakistanske
miljøer	miljø
.	$.

-	$-
Tenker	tenke
du	du
i	i
noen	noen
tilfeller	tilfelle
at	at
du	du
har	ha
vært	være
unødvendig	unødvendig
provokativ	provokativ
?	$?

-	$-
Nei	nei
.	$.

Jeg	jeg
angrer	angre
ikke	ikke
på	på
noe	noe
.	$.

Selv	selv
om	om
det	det
har	ha
kostet	koste
meg	jeg
og	og
familien	familie
min	min
mye	mye
.	$.

Det	det
første	første
søsteren	søster
min	min
sa	si
etter	etter
skyteepisoden	skyteepisoden
mot	mot
restauranten	restaurant
hennes	hennes
,	$,
var	være
:	$:

«	$"
Husk	huske
at	at
dette	dette
ikke	ikke
er	være
din	din
skyld	skyld
»	$"
.	$.

Den	den
setningen	setning
hjalp	hjelpe
meg	jeg
mye	mye
for	for
å	å
komme	komme
gjennom	gjennom
det	det
psykisk	psykisk
.	$.

Og	og
stå	stå
i	i
stormen	storm
i	i
etterkant	etterkant
.	$.

Og	og
som	som
artist	artist
er	være
jeg	jeg
kjempestolt	kjempestolt
.	$.

Også	også
av	av
rumpestuntet	rumpestuntet
.	$.

Hun	hun
tar	ta
en	en
tenkepause	tenkepause
.	$.

-	$-
Spesielt	spesiell
rumpestuntet	rumpestuntet
,	$,
faktisk	faktisk
.	$.

Rent	ren
intellektuelt	intellektuelt
var	være
valget	valg
å	å
akseptere	akseptere
utslettelse	utslettelse
av	av
individet	individ
eller	eller
protestere	protestere
.	$.

Det	det
er	være
den	den
mest	mye
antiautoritære	antiautoritære
tingen	tingen
jeg	jeg
kunne	kunne
gjort	gjøre
,	$,
så	så
det	det
er	være
jeg	jeg
stolt	stolt
av	av
.	$.

Jeg	jeg
kommer	komme
til	til
å	å
være	være
stolt	stolt
til	til
jeg	jeg
blir	bli
nitti	nitti
år	år
.	$.

Og	og
kanskje	kanskje
jeg	jeg
gjentar	gjenta
det	det
da	da
,	$,
hæ	hæ
hæ	hæ
.	$.

-	$-
Jeg	jeg
synes	synes
ikke	ikke
det	det
jeg	jeg
har	ha
gjort	gjøre
er	være
kontroversielt	kontroversiell
.	$.

Det	det
er	være
jo	jo
reaksjonene	reaksjon
jeg	jeg
har	ha
møtt	møte
som	som
er	være
kontroversielle	kontroversiell
.	$.

Men	men
hva	hva
var	være
alternativet	alternativ
?	$?

Å	å
holde	holde
kjeft	kjeft
?	$?

Jeg	jeg
vet	vite
at	at
det	det
jeg	jeg
har	ha
gjort	gjøre
er	være
i	i
tråd	tråd
med	med
min	min
samvittighet	samvittighet
.	$.

Men	men
jeg	jeg
har	ha
vært	være
redd	redd
,	$,
jeg	jeg
har	ha
hatt	ha
det	det
vondt	vond
,	$,
og	og
jeg	jeg
har	ha
fått	få
angstfulle	angstfulle
reaksjoner	reaksjon
etterpå	etterpå
,	$,
sier	si
Shabana	Shabana
.	$.

-	$-
Man	man
blir	bli
jo	jo
ensom	ensom
når	når
det	det
blir	bli
så	så
mye	mye
kontrovers	kontrovers
.	$.

Man	man
mister	miste
publikum	publikum
.	$.

Man	man
risikerer	risikere
å	å
ikke	ikke
bli	bli
invitert	invitere
til	til
jobber	jobb
.	$.

Og	og
folk	folk
stiller	stille
hele	hel
tida	tid
spørsmålstegn	spørsmålstegn
ved	ved
ens	ens
person	person
.	$.

Det	det
er	være
ikke	ikke
det	det
at	at
jeg	jeg
har	ha
blitt	bli
deprimert	deprimert
.	$.

Men	men
jeg	jeg
kjenner	kjenne
jo	jo
på	på
ting	ting
.	$.

Hvis	hvis
publikum	publikum
ler	le
i	i
løpet	løp
av	av
de	de
første	første
minuttene	minutt
,	$,
da	da
fortsetter	fortsette
jeg	jeg
,	$,
tenkte	tenke
Shabana	Shabana
.	$.

Hun	hun
var	være
23	23
år	år
og	og
debuterte	debutere
som	som
standupkomiker	standupkomiker
på	på
utestedet	utested
Onkel	Onkel
Blå	Blå
i	i
Bærum	Bærum
.	$.

Publikum	publikum
lo	le
.	$.

Shabana	Shabana
så	se
seg	seg
ikke	ikke
tilbake	tilbake
.	$.

Nesten	nesten
ti	ti
år	år
etter	etter
henger	henge
det	det
en	en
tavle	tavle
med	med
postit-lapper	postit-lapper
i	i
ulike	ulik
farger	farge
i	i
stua	stue
hennes	hennes
.	$.

De	de
representerer	representere
inntekter	inntekt
og	og
utgifter	utgift
,	$,
og	og
det	det
er	være
flest	mange
lapper	lapper
på	på
utgiftssiden	utgiftssiden
.	$.

Hun	hun
kunne	kunne
valgt	velge
å	å
fortsette	fortsette
livet	liv
sitt	sin
som	som
etablert	etablert
artist	artist
i	i
Norge	Norge
.	$.

Hun	hun
velger	velge
å	å
spise	spise
middager	middager
til	til
tre	tre
dollar	dollar
på	på
sjappa	sjappa
rundt	rundt
hjørnet	hjørne
.	$.

-	$-
Jeg	jeg
er	være
ikke	ikke
så	så
opptatt	opptatt
av	av
å	å
være	være
voksen	voksen
lenger	lang
,	$,
for	for
å	å
si	si
det	det
sånn	sånn
.	$.

Men	men
jeg	jeg
har	ha
blitt	bli
roligere	roligere
,	$,
jeg	jeg
tar	ta
inn	inn
familien	familie
mer	mye
,	$,
jeg	jeg
tør	tørre
slippe	slippe
folk	folk
innpå	innpå
meg	jeg
igjen	igjen
.	$.

Jeg	jeg
er	være
blitt	bli
mer	mye
disiplinert	disiplinert
og	og
mindre	liten
surrete	surrete
.	$.

Sånn	sånn
sett	se
kan	kunne
du	du
kanskje	kanskje
si	si
at	at
jeg	jeg
har	ha
blitt	bli
mer	mye
voksen	voksen
likevel	likevel
.	$.

Ikke	ikke
sånn	sånn
«	$"
nå	nå
har	ha
jeg	jeg
lært	lære
»	$"
-type	-type
voksen	voksen
.	$.

Men	men
jeg	jeg
har	ha
dratt	dra
til	til
en	en
ny	ny
by	by
,	$,
etablert	etablere
meg	jeg
på	på
nytt	ny
,	$,
begynt	begynne
på	på
scratch	scratch
,	$,
bygget	bygge
et	en
hjem	hjem
og	og
bodd	bo
mye	mye
alene	alene
.	$.

Det	det
har	ha
gitt	gi
meg	jeg
perspektiv	perspektiv
på	på
ting	ting
.	$.

Nå	nå
vil	ville
dama	dame
som	som
ektemannen	ektemann
kaller	kalle
«	$"
Norges	Norge
viktigste	viktig
opprører	opprører
»	$"
ha	ha
barn	barn
.	$.

Gjerne	gjerne
med	med
en	en
gang	gang
.	$.

-	$-
Men	men
det	det
er	være
ikke	ikke
slik	slik
at	at
man	man
får	få
barn	barn
med	med
engang	engang
,	$,
dessverre	dessverre
.	$.

Vi	vi
håper	håpe
det	det
kan	kunne
skje	skje
veldig	veldig
snart	snar
.	$.

Jeg	jeg
har	ha
sagt	si
jeg	jeg
vil	ville
ha	ha
fire	fire
,	$,
sier	si
Shabana	Shabana
.	$.

-	$-
Hva	hva
slags	slags
mor	mor
